fecha_hora,energia_kwh,demanda_kw,temperatura_c,ocupacion,tipo_dia,estado_hvac
2026-04-01 00:00:00,5.417540890528741,5.639192419423126,20.200203719814237,3,Laboral,Apagado
2026-04-01 01:00:00,6.446295166214037,6.573491343285068,16.976773540213248,6,Laboral,Apagado
2026-04-01 02:00:00,9.911788456060016,9.836343860523218,17.175680891258025,4,Laboral,Apagado
2026-04-01 03:00:00,8.23761155838108,9.17395257773713,17.48901953959581,3,Laboral,Apagado
2026-04-01 04:00:00,4.95810585302501,5.42102845471402,16.18958906049284,0,Laboral,Apagado
2026-04-01 05:00:00,6.38159841314862,6.882427334480972,17.538377072349384,4,Laboral,Apagado
2026-04-01 06:00:00,6.742623737381705,6.694562275155747,18.17050441222429,7,Laboral,Apagado
2026-04-01 07:00:00,24.05860029496421,24.080091645480643,16.894330832385496,149,Laboral,Encendido
2026-04-01 08:00:00,13.18433477762162,13.054313700745759,21.185913426386108,62,Laboral,Encendido
2026-04-01 09:00:00,20.108274291562267,21.556546000894905,21.720598219103458,132,Laboral,Encendido
2026-04-01 10:00:00,18.957423344388722,20.551241821479927,21.28476141164997,137,Laboral,Encendido
2026-04-01 11:00:00,12.494003253066241,13.770257373696413,22.794142086565135,58,Laboral,Encendido
2026-04-01 12:00:00,11.971321361127606,12.470584891949818,24.434786373782295,50,Laboral,Encendido
2026-04-01 13:00:00,16.187244853705675,15.771095489881912,24.150473916907778,65,Laboral,Encendido
2026-04-01 14:00:00,15.253083789815825,16.78260767386516,24.57240441074922,43,Laboral,Encendido
2026-04-01 15:00:00,13.972862100233671,14.749065680154986,23.256110305011052,77,Laboral,Encendido
2026-04-01 16:00:00,13.54525183381029,15.452569733318835,25.52919967942654,54,Laboral,Encendido
2026-04-01 17:00:00,15.260940953483304,15.157732410066894,24.6127587014822,28,Laboral,Encendido
2026-04-01 18:00:00,22.241465367469996,20.926480683807657,24.157779033258148,134,Laboral,Encendido
2026-04-01 19:00:00,16.157024242488998,17.925504591614594,21.16817056175619,119,Laboral,Encendido
2026-04-01 20:00:00,4.230619563491616,3.8094485693509457,24.016115809833853,4,Laboral,Apagado
2026-04-01 21:00:00,6.464840833157341,6.076525377084951,21.18520264254763,6,Laboral,Apagado
2026-04-01 22:00:00,9.531350898043236,10.029394511079625,19.50015588764625,3,Laboral,Apagado
2026-04-01 23:00:00,5.829444578585211,6.252896472853376,21.434886664913336,5,Laboral,Apagado
2026-04-02 00:00:00,7.555533872756187,7.27723176899605,18.117109639421034,4,Laboral,Apagado
2026-04-02 01:00:00,7.645546395171652,6.944313501359014,15.795083945886358,0,Laboral,Apagado
2026-04-02 02:00:00,,9.830985757020107,16.6500232683305,1,Laboral,Apagado
2026-04-02 03:00:00,12.178649062628544,13.333510267078534,14.254021877633933,6,Laboral,Apagado
2026-04-02 04:00:00,5.446486773685416,6.251762962096153,18.39557255405563,2,Laboral,Apagado
2026-04-02 05:00:00,8.168145100302704,7.985214445143436,17.036129202638225,7,Laboral,Apagado
2026-04-02 06:00:00,7.964052468217576,7.777397573222652,17.28050864500833,4,Laboral,Apagado
2026-04-02 07:00:00,17.260503074571652,18.585435551349644,20.286964157890594,115,Laboral,Encendido
2026-04-02 08:00:00,12.19282194764768,13.368049760131438,17.98343311230291,42,Laboral,Encendido
2026-04-02 09:00:00,17.10992391382758,16.628129041438555,21.64251522759131,101,Laboral,
2026-04-02 10:00:00,18.836133474851895,17.4721037159248,19.55797841666467,108,Laboral,Encendido
2026-04-02 11:00:00,12.08231978237179,11.631496021076174,22.20540879239983,49,Laboral,Encendido
2026-04-02 12:00:00,15.51065407770992,14.929461800628568,22.383363310026514,69,Laboral,Encendido
2026-04-02 13:00:00,15.624394149225207,16.06628582097503,26.218472367793982,61,Laboral,Encendido
2026-04-02 14:00:00,21.248527241704277,20.150814054603778,26.983096358671474,96,Laboral,Encendido
2026-04-02 15:00:00,17.922050066328808,16.463324734696567,24.60470349770432,107,Laboral,Encendido
2026-04-02 16:00:00,16.013672639358813,18.27706231746187,25.872583195728517,64,Laboral,Encendido
2026-04-02 17:00:00,14.626481630994082,15.38122362781329,24.248117933634934,60,Laboral,Encendido
2026-04-02 18:00:00,21.311964426093006,19.272689504019986,24.51010138953977,141,Laboral,Encendido
2026-04-02 19:00:00,17.041530584699608,18.383593863254646,22.09659536429424,150,Laboral,Encendido
2026-04-02 20:00:00,10.096840779490257,9.545320052059257,19.985269136609617,5,Laboral,Apagado
2026-04-02 21:00:00,8.096173081751642,8.086711220871479,18.83628160982431,5,Laboral,Apagado
2026-04-02 22:00:00,5.150334366142308,5.342077976031208,20.42447004169893,5,Laboral,Apagado
2026-04-02 23:00:00,2.8359642573488277,3.071782205082529,21.697114063369238,6,Laboral,Apagado
2026-04-03 00:00:00,-5.0,9.027566665999714,18.494866831863273,5,Laboral,Apagado
2026-04-03 01:00:00,9.836049416506356,9.470089465138354,16.906372841581224,6,Laboral,Apagado
2026-04-03 02:00:00,9.416373588488005,8.568593874493265,19.430719329642052,5,Laboral,Apagado
2026-04-03 03:00:00,10.167559359231412,9.65949175337036,17.284762215964633,2,Laboral,Apagado
2026-04-03 04:00:00,7.568373398287207,7.434946059472838,17.258017477097663,3,Laboral,Apagado
2026-04-03 05:00:00,9.55319966105751,9.11652818433848,17.838991667528628,7,Laboral,Apagado
2026-04-03 06:00:00,5.09560597465063,5.124216960472339,18.012720238173593,2,Laboral,Apagado
2026-04-03 07:00:00,13.470000634949152,13.563501431984355,18.628628391293343,37,Laboral,Encendido
2026-04-03 08:00:00,24.813148961837747,28.214311704220872,18.24276766034725,143,Laboral,Encendido
2026-04-03 09:00:00,13.057503218577562,14.852751304087478,21.60194894781725,84,Laboral,Encendido
2026-04-03 10:00:00,17.745997925873457,17.912588428221248,21.92154563988221,131,Laboral,Encendido
2026-04-03 11:00:00,19.37602529038078,19.198904203918964,24.43170310681281,115,Laboral,Encendido
2026-04-03 12:00:00,16.123319681889896,18.07482154530336,23.385844962608775,91,Laboral,Encendido
2026-04-03 13:00:00,18.668480164041775,20.073208464854346,22.176457760901194,107,Laboral,Encendido
2026-04-03 14:00:00,17.40248415746669,19.522981189495464,24.744170546882437,113,Laboral,Encendido
2026-04-03 15:00:00,25.097874804197275,25.243313859564328,27.039444756096017,122,Laboral,Encendido
2026-04-03 16:00:00,17.26486528567568,15.632334837534726,,119,Laboral,Encendido
2026-04-03 17:00:00,14.953261009140846,14.57433238861725,23.396273381912856,94,Laboral,Encendido
2026-04-03 18:00:00,18.69751863923776,17.76818351507841,22.396116818036372,150,Laboral,Encendido
2026-04-03 19:00:00,13.670069998088312,14.425389585392956,21.73997982670955,82,Laboral,Encendido
2026-04-03 20:00:00,5.8429674495605886,6.120886444156498,21.675043696249887,5,Laboral,Apagado
2026-04-03 21:00:00,8.050704637722149,7.467652656980955,19.584021487850155,1,Laboral,Apagado
2026-04-03 22:00:00,6.6337119592975675,7.299324447592606,21.76189075830702,4,Laboral,Apagado
2026-04-03 23:00:00,11.95391124685443,12.793912543942687,18.660837716709544,6,Laboral,Apagado
2026-04-04 00:00:00,8.820403611301703,8.85145113871986,18.301950921047485,6,Fin de semana,Apagado
2026-04-04 01:00:00,6.759707493185199,6.824473298758353,19.261785809742754,0,Fin de semana,Apagado
2026-04-04 02:00:00,8.013314235008698,8.148141112236075,18.940278919344017,0,Fin de semana,Apagado
2026-04-04 03:00:00,9.441786704627784,10.110406337592822,16.744720439578927,2,Fin de semana,Apagado
2026-04-04 04:00:00,7.987159396067614,8.160745967751849,17.534665753429923,5,Fin de semana,Apagado
2026-04-04 05:00:00,6.163962488576968,6.9365368897946,18.417930286115077,7,Fin de semana,Apagado
2026-04-04 06:00:00,6.812573228238256,7.200002544019095,17.94014632283407,6,Fin de semana,Apagado
2026-04-04 07:00:00,9.088280062180795,9.002479931765535,16.86638457644979,7,Fin de semana,Apagado
2026-04-04 08:00:00,8.324981091266716,9.109871663762398,20.75037066403365,2,Fin de semana,Apagado
2026-04-04 09:00:00,7.237769550558286,7.5629454676121375,22.07322276578464,2,Fin de semana,Apagado
2026-04-04 10:00:00,6.480921511949599,6.1382760158515275,22.533879317567695,3,Fin de semana,Apagado
2026-04-04 11:00:00,7.48998125473104,7.984154304716445,21.89174641194414,3,Fin de semana,Apagado
2026-04-04 12:00:00,5.888071321817025,6.618665303043926,23.593194349976635,0,Fin de semana,Apagado
2026-04-04 13:00:00,7.845415533990848,7.965736346919003,23.75517783250199,6,Fin de semana,Apagado
2026-04-04 14:00:00,9.866493889238964,10.308196249078417,24.50404982036288,2,Fin de semana,Apagado
2026-04-04 15:00:00,10.197438964805846,9.367031996821781,26.556262231272008,3,Fin de semana,Apagado
2026-04-04 16:00:00,10.413002484874427,9.517729618121342,26.699198865228063,0,Fin de semana,Apagado
2026-04-04 17:00:00,7.021586334079733,6.769010368969903,25.26740344722935,3,Fin de semana,Apagado
2026-04-04 18:00:00,8.02551011592269,9.12982183317753,24.486921268480188,6,Fin de semana,Apagado
2026-04-04 19:00:00,5.669226099034694,5.251572825790969,23.811954787467062,7,Fin de semana,Apagado
2026-04-04 20:00:00,8.452359925365439,8.278741481007243,22.020585556482352,7,Fin de semana,Apagado
2026-04-04 21:00:00,5.90342233792268,6.284185339915158,20.90920384621552,1,Fin de semana,Apagado
2026-04-04 22:00:00,5.237054278268333,5.882399528588176,19.15634959473863,4,Fin de semana,Apagado
2026-04-04 23:00:00,6.441544665670496,7.341666061210722,18.93295905993991,0,Fin de semana,Apagado
2026-04-05 00:00:00,7.223201519303919,7.657922491886803,20.883509259205322,2,Fin de semana,Apagado
2026-04-05 01:00:00,4.037050529873323,3.678719239350801,18.57874557996684,6,Fin de semana,Apagado
2026-04-05 02:00:00,5.725773188422883,5.782518658872921,16.72575626673149,1,Fin de semana,Apagado
2026-04-05 03:00:00,10.706921817134404,12.041382470060771,16.433688017439774,7,Fin de semana,Apagado
